k,event,x,x_next,r,r_next,dx,dx_raw,dx_perm,q,p,z,a,s,u,v,R,Psi,horizon,closed
1,ROAM,1.0,1.5,1.000000000001,0.250000000001,0.5,0.5,0.29999999999904003,3.9999999999760014,1.0,3.9999999999760014,0.5999999999980801,0.5999999999980801,0.6931471805569455,0.6931471805569455,0.9802581434643047,0.48045301391404277,0,0
2,ROAM,1.5,1.4166666666666667,0.250000000001,0.006944444445444642,-0.08333333333333333,-0.08333333333333333,-0.07882882882760153,35.99999998991897,0.16666666666833335,5.9999999983798284,0.9459459459312184,0.7142857142195849,1.791759469088041,0.8958797344790133,2.003247986075824,2.0065012468584227,0,0
3,ROAM,1.4166666666666667,1.4142156862745099,0.006944444445444642,6.007305882871267e-06,-0.002450980392156932,-0.002450980392156932,-0.0024467436052826004,1155.9996154425623,0.029411764717530244,33.99998870295209,0.9982713909552727,0.9428571244129771,3.5263603582850656,1.763180096174996,3.9425907000387506,7.772010714016022,0,0
4,ROAM,1.4142156862745099,1.4142135623746899,6.007305882871267e-06,5.510614104447086e-12,-2.123899819940621e-06,-2.123899819940621e-06,-2.123895216254674e-06,922694.3551711914,0.0008665515341821958,799.5622090548477,0.9999978324373383,0.9975017556694799,6.86752665791281,3.3420321695983852,7.6375455101605505,29.16605070988679,0,0
5,CLOSED,1.4142135623746899,1.4142135623730951,5.510614104447086e-12,1.00044408920985e-12,-1.5947429102833119e-12,-1.5947429102833119e-12,-8.450843000148186e-13,3.2545843893186213,1.2216874186977593e-06,3.97608480152069e-06,0.529918831785047,-0.9999920478620152,0.5900322918675923,-6.21760647051717,6.245539874795733,19.50338416383175,0,1
