mode,alpha,k,theta,a_avg_mean,s_avg_mean,u,v,R,Psi,du,dv,D_uv_step,L_struct_uv
corner,0.65,2.2,0.0,0.9757431300314519,-0.9757431300314519,2.20000000000001,-2.20000000000001,3.11126983722082,4.84000000000003,0,0,0,0
corner,0.65,2.2,0.09817477042468103,0.9724218233635572,-0.9703501378857311,2.13499633014164,-2.09825453295987,2.99347313580812,4.48044070740246,-0.06500366985837,0.10174546704014,0.120737803352025,0.120737803352025
corner,0.65,2.2,0.19634954084936207,0.9687910696297989,-0.9637854015630695,2.07223533972353,-1.99658345382996,2.87758662620375,4.14025239565334,-0.0627609904181101,0.10167107912991,0.119482008058546,0.240219811410571
corner,0.65,2.2,0.2945243112740431,0.9648809945564807,-0.9558957266499033,2.01222225517158,-1.89602343028458,2.76476820952425,3.82197162619797,-0.06001308455195,0.10056002354538,0.117106313462968,0.357326124873539
corner,0.65,2.2,0.39269908169872414,0.9607368651363615,-0.9465604928924912,1.95539479935922,-1.79763446922308,2.65613601050474,3.52752925315001,-0.0568274558123598,0.0983889610615001,0.113621069317566,0.470947194191105
corner,0.65,2.2,0.4908738521234052,0.9564191151824173,-0.9357190614222978,1.90212623330124,-1.70248550112336,2.55275167005097,3.25827054447401,-0.0532685660579799,0.09514896809972,0.109045248682897,0.579992442874002
corner,0.65,2.2,0.5890486225480862,0.9520023916617991,-0.9234015221966634,1.85272990441491,-1.61163665957869,2.45560192645536,3.01499041060563,-0.0493963288863302,0.09084884154467,0.10340942567027,0.683401868544272
corner,0.65,2.2,0.6872233929727672,0.9475736153604147,-0.909758019924042,1.80746479435056,-1.52611854601766,2.36557959056883,2.79798339965789,-0.04526511006435,0.0855181135610299,0.0967588648970983,0.78016073344137
corner,0.65,2.2,0.7853981633974483,0.9432291411374522,-0.8950800910913198,1.76654161408284,-1.44690954712556,2.28346589898984,2.60710825592474,-0.0409231802677199,0.0792089988921001,0.0891558870109709,0.869316620452341
corner,0.65,2.2,0.8835729338221293,0.9390711836782052,-0.8798070778198612,1.73012906444603,-1.37491314785138,2.20991690879442,2.44186637188774,-0.03641254963681,0.0719963992741799,0.0806805756021874,0.949997196054528
corner,0.65,2.2,0.9817477042468103,0.9352037339592149,-0.8645125110664796,1.69835995495931,-1.31093780313954,2.14545670203566,2.30149223015486,-0.0317691094867201,0.0639753447118401,0.0714291330521236,1.02142632910665
corner,0.65,2.2,1.0799224746714913,0.9317282240568902,-0.8498692717239152,1.67133694474305,-1.25568190763018,2.09047942731154,2.1850521180064,-0.0270230102162601,0.0552558955093601,0.061509812791858,1.08293614189851
corner,0.65,2.2,1.1780972450961724,0.9287392031829852,-0.8365971459584204,1.64913773194398,-1.20972555616454,2.04526066313293,2.09154559007947,-0.02219921279907,0.04595635146564,0.0510371559643739,1.13397329786288
corner,0.65,2.2,1.2762720155208536,0.9263202701148284,-0.8254002982266884,1.63181957017473,-1.17352932405572,2.00997666255703,2.02000309201196,-0.0173181617692499,0.0361962321088198,0.0401258762638459,1.17409917412673
corner,0.65,2.2,1.3744467859455345,0.9245404734659188,-0.8169038064144577,1.61942303151087,-1.1474387316829,1.9847283436163,1.96957329897696,-0.01239653866386,0.0260905923728201,0.0288858647301623,1.20298503885689
corner,0.65,2.2,1.4726215563702154,0.9234513492094196,-0.811597529661734,1.61197496614107,-1.1316919369018,1.9695659246428,1.93959496575703,-0.00744806536979992,0.0157467947811001,0.0174193921716831,1.22040443102857
corner,0.65,2.2,1.5707963267948966,0.9230847211660734,-0.809793143518569,1.60949063008205,-1.12642781706006,1.96451004460874,1.92964985768431,-0.0024843360590201,0.00526411984174002,0.00582090056282948,1.2262253315914
corner,0.65,2.2,1.6689710972195777,0.9234513492094196,-0.8115975296617339,1.61197496614107,-1.1316919369018,1.9695659246428,1.93959496575703,0.0024843360590201,-0.00526411984174002,0.00582090056282948,1.23204623215423
corner,0.65,2.2,1.7671458676442586,0.9245404734659188,-0.8169038064144577,1.61942303151087,-1.1474387316829,1.9847283436163,1.96957329897696,0.00744806536979992,-0.0157467947811001,0.0174193921716831,1.24946562432592
corner,0.65,2.2,1.8653206380689396,0.9263202701148284,-0.8254002982266884,1.63181957017473,-1.17352932405572,2.00997666255703,2.02000309201196,0.01239653866386,-0.0260905923728201,0.0288858647301623,1.27835148905608
corner,0.65,2.2,1.9634954084936207,0.9287392031829852,-0.8365971459584204,1.64913773194398,-1.20972555616454,2.04526066313293,2.09154559007947,0.0173181617692499,-0.0361962321088198,0.0401258762638459,1.31847736531992
corner,0.65,2.2,2.061670178918302,0.9317282240568902,-0.8498692717239152,1.67133694474305,-1.25568190763018,2.09047942731154,2.1850521180064,0.02219921279907,-0.04595635146564,0.0510371559643739,1.3695145212843
corner,0.65,2.2,2.1598449493429825,0.9352037339592149,-0.8645125110664796,1.69835995495931,-1.31093780313954,2.14545670203566,2.30149223015486,0.0270230102162601,-0.0552558955093601,0.061509812791858,1.43102433407616
corner,0.65,2.2,2.2580197197676637,0.9390711836782052,-0.8798070778198612,1.73012906444603,-1.37491314785138,2.20991690879442,2.44186637188774,0.0317691094867201,-0.0639753447118401,0.0714291330521236,1.50245346712828
corner,0.65,2.2,2.356194490192345,0.9432291411374522,-0.8950800910913198,1.76654161408284,-1.44690954712556,2.28346589898984,2.60710825592474,0.03641254963681,-0.0719963992741799,0.0806805756021874,1.58313404273047
corner,0.65,2.2,2.454369260617026,0.9475736153604147,-0.909758019924042,1.80746479435056,-1.52611854601766,2.36557959056883,2.79798339965789,0.0409231802677199,-0.0792089988921001,0.0891558870109709,1.67228992974144
corner,0.65,2.2,2.552544031041707,0.9520023916617991,-0.9234015221966634,1.85272990441491,-1.61163665957869,2.45560192645536,3.01499041060563,0.04526511006435,-0.0855181135610299,0.0967588648970983,1.76904879463854
corner,0.65,2.2,2.650718801466388,0.9564191151824173,-0.9357190614222978,1.90212623330124,-1.70248550112336,2.55275167005097,3.25827054447401,0.0493963288863302,-0.09084884154467,0.10340942567027,1.87245822030881
corner,0.65,2.2,2.748893571891069,0.9607368651363615,-0.9465604928924912,1.95539479935922,-1.79763446922308,2.65613601050474,3.52752925315001,0.0532685660579799,-0.09514896809972,0.109045248682897,1.9815034689917
corner,0.65,2.2,2.84706834231575,0.9648809945564807,-0.9558957266499033,2.01222225517158,-1.89602343028458,2.76476820952425,3.82197162619797,0.0568274558123598,-0.0983889610615001,0.113621069317566,2.09512453830927
corner,0.65,2.2,2.945243112740431,0.9687910696297989,-0.9637854015630695,2.07223533972353,-1.99658345382996,2.87758662620375,4.14025239565334,0.06001308455195,-0.10056002354538,0.117106313462968,2.21223085177224
corner,0.65,2.2,3.043417883165112,0.9724218233635572,-0.970350137885731,2.13499633014164,-2.09825453295987,2.99347313580812,4.48044070740245,0.0627609904181101,-0.10167107912991,0.119482008058546,2.33171285983078
corner,0.65,2.2,3.141592653589793,0.9757431300314519,-0.9757431300314519,2.20000000000001,-2.20000000000001,3.11126983722082,4.84000000000003,0.06500366985837,-0.10174546704014,0.120737803352025,2.45245066318281
corner,0.65,2.2,3.2397674240144743,0.9724218233635572,-0.9703501378857311,2.13499633014164,-2.09825453295987,2.99347313580812,4.48044070740246,-0.06500366985837,0.10174546704014,0.120737803352025,2.57318846653483
corner,0.65,2.2,3.3379421944391554,0.9687910696297989,-0.9637854015630695,2.07223533972353,-1.99658345382996,2.87758662620375,4.14025239565334,-0.0627609904181101,0.10167107912991,0.119482008058546,2.69267047459338
corner,0.65,2.2,3.436116964863836,0.9648809945564807,-0.9558957266499033,2.01222225517158,-1.89602343028458,2.76476820952425,3.82197162619797,-0.06001308455195,0.10056002354538,0.117106313462968,2.80977678805635
corner,0.65,2.2,3.5342917352885173,0.9607368651363615,-0.9465604928924912,1.95539479935922,-1.79763446922308,2.65613601050474,3.52752925315001,-0.0568274558123598,0.0983889610615001,0.113621069317566,2.92339785737391
corner,0.65,2.2,3.6324665057131984,0.9564191151824173,-0.9357190614222978,1.90212623330124,-1.70248550112336,2.55275167005097,3.25827054447401,-0.0532685660579799,0.09514896809972,0.109045248682897,3.03244310605681
corner,0.65,2.2,3.730641276137879,0.9520023916617991,-0.9234015221966635,1.85272990441491,-1.61163665957869,2.45560192645536,3.01499041060563,-0.0493963288863302,0.09084884154467,0.10340942567027,3.13585253172708
corner,0.65,2.2,3.8288160465625602,0.9475736153604147,-0.909758019924042,1.80746479435056,-1.52611854601766,2.36557959056883,2.79798339965789,-0.04526511006435,0.0855181135610299,0.0967588648970983,3.23261139662418
corner,0.65,2.2,3.9269908169872414,0.9432291411374522,-0.8950800910913198,1.76654161408284,-1.44690954712556,2.28346589898984,2.60710825592474,-0.0409231802677199,0.0792089988921001,0.0891558870109709,3.32176728363515
corner,0.65,2.2,4.025165587411922,0.9390711836782052,-0.8798070778198612,1.73012906444603,-1.37491314785138,2.20991690879442,2.44186637188774,-0.03641254963681,0.0719963992741799,0.0806805756021874,3.40244785923734
corner,0.65,2.2,4.123340357836604,0.9352037339592149,-0.8645125110664796,1.69835995495931,-1.31093780313954,2.14545670203566,2.30149223015486,-0.0317691094867201,0.0639753447118401,0.0714291330521236,3.47387699228946
corner,0.65,2.2,4.221515128261284,0.9317282240568902,-0.8498692717239152,1.67133694474305,-1.25568190763018,2.09047942731154,2.1850521180064,-0.0270230102162601,0.0552558955093601,0.061509812791858,3.53538680508132
corner,0.65,2.2,4.319689898685965,0.9287392031829852,-0.8365971459584204,1.64913773194398,-1.20972555616454,2.04526066313293,2.09154559007947,-0.02219921279907,0.04595635146564,0.0510371559643739,3.58642396104569
corner,0.65,2.2,4.417864669110647,0.9263202701148284,-0.8254002982266884,1.63181957017473,-1.17352932405572,2.00997666255703,2.02000309201196,-0.0173181617692499,0.0361962321088198,0.0401258762638459,3.62654983730954
corner,0.65,2.2,4.516039439535327,0.9245404734659188,-0.8169038064144578,1.61942303151087,-1.1474387316829,1.9847283436163,1.96957329897696,-0.01239653866386,0.0260905923728201,0.0288858647301623,3.6554357020397
corner,0.65,2.2,4.614214209960009,0.9234513492094196,-0.8115975296617339,1.61197496614107,-1.1316919369018,1.9695659246428,1.93959496575703,-0.00744806536979992,0.0157467947811001,0.0174193921716831,3.67285509421138
corner,0.65,2.2,4.71238898038469,0.9230847211660734,-0.809793143518569,1.60949063008205,-1.12642781706006,1.96451004460874,1.92964985768431,-0.0024843360590201,0.00526411984174002,0.00582090056282948,3.67867599477421
corner,0.65,2.2,4.81056375080937,0.9234513492094196,-0.8115975296617339,1.61197496614107,-1.1316919369018,1.9695659246428,1.93959496575703,0.0024843360590201,-0.00526411984174002,0.00582090056282948,3.68449689533704
corner,0.65,2.2,4.908738521234052,0.9245404734659188,-0.8169038064144577,1.61942303151087,-1.1474387316829,1.9847283436163,1.96957329897696,0.00744806536979992,-0.0157467947811001,0.0174193921716831,3.70191628750872
corner,0.65,2.2,5.006913291658733,0.9263202701148284,-0.8254002982266884,1.63181957017473,-1.17352932405572,2.00997666255703,2.02000309201196,0.01239653866386,-0.0260905923728201,0.0288858647301623,3.73080215223889
corner,0.65,2.2,5.105088062083414,0.9287392031829852,-0.8365971459584204,1.64913773194398,-1.20972555616454,2.04526066313293,2.09154559007947,0.0173181617692499,-0.0361962321088198,0.0401258762638459,3.77092802850273
corner,0.65,2.2,5.203262832508095,0.9317282240568902,-0.8498692717239152,1.67133694474305,-1.25568190763018,2.09047942731154,2.1850521180064,0.02219921279907,-0.04595635146564,0.0510371559643739,3.82196518446711
corner,0.65,2.2,5.301437602932776,0.9352037339592147,-0.8645125110664796,1.69835995495931,-1.31093780313954,2.14545670203566,2.30149223015486,0.0270230102162601,-0.0552558955093601,0.061509812791858,3.88347499725896
corner,0.65,2.2,5.399612373357457,0.9390711836782052,-0.8798070778198612,1.73012906444603,-1.37491314785138,2.20991690879442,2.44186637188774,0.0317691094867201,-0.0639753447118401,0.0714291330521236,3.95490413031109
corner,0.65,2.2,5.497787143782138,0.9432291411374522,-0.8950800910913198,1.76654161408284,-1.44690954712556,2.28346589898984,2.60710825592474,0.03641254963681,-0.0719963992741799,0.0806805756021874,4.03558470591328
corner,0.65,2.2,5.595961914206819,0.9475736153604147,-0.909758019924042,1.80746479435056,-1.52611854601766,2.36557959056883,2.79798339965789,0.0409231802677199,-0.0792089988921001,0.0891558870109709,4.12474059292425
corner,0.65,2.2,5.6941366846315,0.9520023916617991,-0.9234015221966634,1.85272990441491,-1.61163665957869,2.45560192645536,3.01499041060563,0.04526511006435,-0.0855181135610299,0.0967588648970983,4.22149945782134
corner,0.65,2.2,5.792311455056181,0.9564191151824173,-0.9357190614222978,1.90212623330124,-1.70248550112336,2.55275167005097,3.25827054447401,0.0493963288863302,-0.09084884154467,0.10340942567027,4.32490888349161
corner,0.65,2.2,5.890486225480862,0.9607368651363615,-0.9465604928924911,1.95539479935922,-1.79763446922308,2.65613601050474,3.52752925315001,0.0532685660579799,-0.09514896809972,0.109045248682897,4.43395413217451
corner,0.65,2.2,5.988660995905543,0.9648809945564807,-0.9558957266499033,2.01222225517158,-1.89602343028458,2.76476820952425,3.82197162619797,0.0568274558123598,-0.0983889610615001,0.113621069317566,4.54757520149208
corner,0.65,2.2,6.086835766330224,0.9687910696297989,-0.9637854015630695,2.07223533972353,-1.99658345382996,2.87758662620375,4.14025239565334,0.06001308455195,-0.10056002354538,0.117106313462968,4.66468151495505
corner,0.65,2.2,6.1850105367549055,0.9724218233635572,-0.9703501378857311,2.13499633014164,-2.09825453295987,2.99347313580812,4.48044070740246,0.0627609904181101,-0.10167107912991,0.119482008058546,4.78416352301359
fixed,0.65,2.2,0.0,0.9757431300314519,-0.9757431300314519,2.20000000000001,-2.20000000000001,3.11126983722082,4.84000000000003,0,0,0,0
fixed,0.65,2.2,0.09817477042468103,0.9685733125368451,-0.9632871836153493,2.06870345069367,-1.98962478375755,2.87021614988387,4.11907037352709,-0.13129654930634,0.21037521624246,0.247984909760279,0.247984909760279
fixed,0.65,2.2,0.19634954084936207,0.9598830166850809,-0.9439657071016687,1.94442014818211,-1.77326073399465,2.63158190892546,3.4626116716919,-0.12428330251156,0.2163640497629,0.249519019942334,0.497503929702613
fixed,0.65,2.2,0.2945243112740431,0.9496465708175855,-0.9144189155443092,1.82816833282542,-1.55385256723298,2.39930349348352,2.8783286269211,-0.11625181535669,0.21940816676167,0.248303097474524,0.745807027177137
fixed,0.65,2.2,0.39269908169872414,0.9379416481108714,-0.8707832134276475,1.72065329036462,-1.3363104714671,2.17861731880457,2.37318671089761,-0.1075150424608,0.21754209576588,0.242660354787425,0.988467381964562
fixed,0.65,2.2,0.4908738521234052,0.9249573892482861,-0.8102070624472243,1.62230150773065,-1.1276314206593,1.97570615295981,1.95170740142162,-0.0983517826339699,0.2086790508078,0.23069464535035,1.21916202731491
fixed,0.65,2.2,0.5890486225480862,0.9109890228164551,-0.7330256832793589,1.53330824937363,-0.935235824008197,1.79602345032171,1.61285011705275,-0.0889932583570199,0.192395596651103,0.211980814329347,1.43114284164426
