trace,rows,closed,last_event,L_classical,L_struct,max_R,max_Psi
x2_minus_2_trace.csv,5,1,CLOSED,0.585786437626905,18.297010558817856,7.6375455101605505,29.16605070988679
x2_plus_1_trace.csv,25,0,ROAM,1999999880791.7104,1999999880801.506,10.259169919251342,52.625283716035796
x4_plus_1_trace.csv,25,0,ROAM,196.29816741757898,217.9849493841088,9.39523132308039,44.13518580709544
